,Full Design,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
1245,1.10E+35,0,0.1998,-1.50E-05,0.4,0.1
1252,1.10E+21,0,0.1998,-2.18E-05,0.6,0.4
1256,1.00E+33,0,0.6,-0.072487141,0.6,0.7
1258,1.00E+30,0,0.1998,-1.91E-05,0.4,0.1
1266,1.11E+35,1229,0.11279208,-0.723501718,0.4,0.9
1273,1.01E+35,1167,0.1,-0.7239819,0.4,0.6
1279,1.00E+30,0,0.1998,-1.46E-05,0.4,0.5
1281,1.10E+34,0,0.1998,-1.05E-05,0.6,0.9
1286,1.00E+32,0,0.1998,-2.12E-05,1,0.5
1298,1.00E+22,0,0.1998,-2.65E-05,0.6,0.3
1299,1.11E+35,1211,0.11279208,-0.723501718,0.4,0.8
1312,1.00E+28,0,0.1998,-1.61E-05,0.4,0.4
1325,1.01E+35,1189,0.1,-0.7239819,0.4,0.6
1331,1.01E+32,0,0.1998,-2.77E-05,0.8,0.3
1338,1.00E+27,0,0.1998,-1.46E-05,0.4,0.6
1343,1.00E+33,0,0.1998,-1.26E-05,0.6,0.9
1352,1.01E+35,429,0.037775666,-0.485413157,0.4,1
1356,1.00E+33,147,0.2,-0.229720172,0.8,0.7
1358,1.01E+35,444,0.060555879,-0.582907028,0.4,0.8
1363,1.00E+33,0,3,-0.020431258,0.6,0.8
1367,1.00E+35,0,0.1998,-2.12E-05,1,0.4
1368,1.00E+34,161,0.1998,-1.29E-05,0.4,0.5
1374,1.11E+35,1036,0.09187897,-0.690811976,0.6,0.8
1382,1.00E+33,0,0.147759225,-0.243655037,0.4,0.7
1387,1.10E+33,0,0.805330086,-0.096703596,0.8,1
1391,1.01E+35,531,0.031799439,-0.556844516,0.4,0.8
1392,1.01E+35,277,0.017707759,-0.427742996,0.6,1
1396,1.00E+35,0,0.451351026,-0.106840508,0.4,1
1398,1.10E+32,0,1.78E-16,-0.07763954,0.8,0.5
1400,1.00E+32,0,0.1998,-2.19E-05,0.6,0.3
1401,1.01E+35,1198,0.048419093,-0.630526062,0.4,0.8
1402,1.01E+35,423,0.019914455,-0.478086614,0.6,0.7
1405,1.00E+32,0,0.1998,-2.31E-05,1,0.5
1407,1.00E+30,134,0.067937654,-0.190507931,0.6,0.5
1416,1.01E+35,476,0.123056137,-0.714456575,0.6,0.8
1421,1.10E+33,0,0.706438174,-0.101978925,0.4,0.7
1423,1.01E+35,331,0.123056137,-0.714456575,0.4,0.8
1426,1.00E+35,0,0.1998,-2.40E-05,0.8,0.1
1427,1.01E+35,523,0.005082717,-0.383994046,0.4,0.9
1433,1.11E+35,592,0.11279208,-0.704352911,0.6,0.8
1434,1.01E+35,441,0.05250296,-0.518080252,0.6,1
1436,1.01E+35,344,0.059638233,-0.570615428,0.4,0.7
1437,1.01E+35,441,0.051747224,-0.506018957,0.4,1
1451,1.01E+35,1024,0,-0.542986425,0.4,0.6
1460,1.10E+21,0,0.1998,-1.48E-05,0.4,0.6
1461,1.00E+29,0,0.1998,-2.54E-05,0.6,0.2
1469,1.01E+35,385,0.019914455,-0.478086614,0.4,0.7
1473,1.00E+16,0,0.1998,-2.74E-05,0.6,0.3
1480,1.00E+29,0,0.1998,-1.14E-05,0.4,0.5
1482,1.01E+35,1317,4.44E-17,-0.549128145,1,0.8
1487,1.00E+28,0,0.1998,-1.77E-05,0.8,0.7
1492,1.00E+26,0,0.1998,-1.35E-05,0.4,0.6
1505,1.10E+24,0,0.1998,-1.35E-05,0.8,0.8
1506,1.01E+35,293,0.027757441,-0.336393545,0.6,0.8
1507,1.01E+35,322,0.02183571,-0.405077295,0.4,1
1513,1.00E+35,0,0.1998,-1.61E-05,0.6,0.4
1539,1.00E+25,0,0.1998,-2.25E-05,0.8,0.2
1541,1.00E+35,0,0.1998,-1.96E-05,0.8,0.5
1552,1.01E+32,0,0.1998,-1.35E-05,0.4,0.8
1566,1.01E+32,109,0.1998,-1.33E-05,0.4,0.7
1572,1.10E+21,0,0.1998,-1.84E-05,0.4,0.6
1574,1.00E+25,0,0.1998,-6.20E-05,1,1.11E-16
1581,1.00E+27,0,0.1998,-3.00E-05,0.8,1.11E-16
1590,1.00E+19,0,0.1998,-2.47E-05,1,0.6
1594,1.10E+30,0,0.1998,-1.35E-05,0.4,0.7
1600,1.00E+19,0,0.1998,-2.34E-05,0.6,1.11E-16
1601,1.10E+34,0,0.2,-0.518155541,0.4,0.9
1610,1.00E+32,0,0.1998,-3.10E-05,1,1.11E-16
1639,1.00E+27,0,0.1998,-1.43E-05,0.8,0.6
1644,1.01E+32,0,0.1998,-2.12E-05,0.4,0.3
1652,1.00E+19,104,0.1998,-2.00E-05,0.6,0.6
1662,1.00E+26,0,0.1998,-1.38E-05,0.6,0.5
1670,1.01E+33,0,0.1998,-1.45E-05,0.8,0.6
1694,1.01E+35,446,0,-0.542986425,0.4,0.6
1696,1.00E+27,102,0.1998,-1.43E-05,0.8,0.5
1703,1.00E+31,0,0.1998,-2.86E-05,1,1.11E-16
1711,1.00E+34,0,0.1998,-1.43E-05,0.6,0.4
1739,1.00E+30,0,0.1998,-2.25E-05,0.6,1.11E-16
1763,1.10E+28,0,0.082308322,-0.214571495,0.6,0.9
1769,1.01E+32,0,0.1998,-2.40E-05,0.8,0.2
1780,1.01E+35,703,0,-0.466760353,1,1
1798,1.00E+32,0,0.1998,-2.34E-05,0.6,1.11E-16
1807,1.00E+33,0,2.106095267,-0.02675063,0.4,0.8
1816,1.00E+35,0,0.1998,-7.49E-05,1,1.11E-16
1826,1.00E+27,124,0.1998,-1.46E-05,0.4,0.3
1833,1.00E+35,0,0.1998,-1.43E-05,0.8,0.8
1846,1.00E+27,0,0.1998,-1.49E-05,0.4,0.6
1856,1.01E+35,587,0.1,-0.7239819,0.4,0.6
1870,1.00E+25,0,0.1998,-3.00E-05,0.4,1.11E-16
1877,1.00E+34,0,0.1998,-2.50E-05,0.8,1.11E-16
1882,1.01E+35,502,0.1,-0.7239819,0.6,0.6
1903,1.00E+33,0,0.1998,-1.08E-05,0.4,0.8
1906,1.00E+33,0,0.1998,-1.65E-05,0.6,0.4
1908,1.00E+21,119,0.1998,-2.65E-05,0.8,0.3
1909,1.00E+35,0,0.1998,-1.18E-05,0.8,0.6
1911,1.00E+34,0,0.1998,-1.78E-05,0.8,0.3
1913,1.11E+25,0,0.1998,-1.19E-05,0.4,0.8
1918,1.10E+33,0,0.1998,-2.12E-05,0.8,0.5
1921,1.00E+34,0,0.1998,-1.96E-05,0.8,0.4
1922,1.00E+33,0,0.1998,-1.49E-05,0.4,0.4
1932,1.10E+30,0,0.1998,-1.96E-05,1,0.4
1937,1.00E+27,0,0.1998,-2.40E-05,0.8,0.1
1944,1.00E+34,0,0.1998,-1.87E-05,0.6,1.11E-16
1945,1.00E+26,0,0.1998,-2.00E-05,1,0.7
1955,1.10E+28,0,0.1998,-2.40E-05,1,0.5
1958,1.00E+13,0,0.1998,-3.54E-05,1,1.11E-16
1960,1.01E+30,0,0.1998,-2.19E-05,1,0.4
1965,1.00E+21,121,0.1998,-2.31E-05,0.4,1.11E-16
1967,1.00E+20,0,0.1998,-2.96E-05,1,0.5
1977,1.01E+29,0,0.1998,-2.25E-05,0.8,0.1
1979,1.00E+35,0,0.1998,-2.57E-05,1,0.2
1982,1.00E+34,105,0.1998,-2.77E-05,1,0.3
1996,1.01E+35,383,0.09187897,-0.690811976,0.6,0.8
2000,1.01E+35,198,0.042593741,-0.449837911,0.8,1
2001,1.01E+35,213,0.099644698,-0.631197544,0.4,1
2004,1.01E+35,156,0.1,-0.701626276,0.6,0.6
2008,1.01E+35,676,0.048419093,-0.630526062,0.4,0.8
2009,1.00E+33,0,0.1998,-1.30E-05,0.8,0.8
2015,1.00E+30,0,0.1998,-4.39E-05,1,1.11E-16
2016,1.00E+32,0,0.1998,-1.70E-05,0.4,0.5
2018,1.10E+33,280,0.01155154,-0.366832372,0.6,0.8
2021,1.00E+32,0,0.1998,-1.43E-05,0.8,0.8
2024,1.11E+35,264,0.11279208,-0.704352911,0.6,0.6
2027,1.01E+35,481,0,-0.542986425,0.4,0.6
2030,1.01E+35,282,0.089202976,-0.649583643,0.4,1
2034,1.01E+35,345,0.023524029,-0.524498033,0.8,0.8
2036,1.00E+35,0,0.1998,-1.23E-05,0.4,0.7
2054,1.01E+35,155,0.169754929,-0.668161455,1,1
2058,1.00E+34,0,0.1998,-1.61E-05,0.4,0.6
2064,1.01E+35,519,0.08035221,-0.671806728,0.4,0.8
2065,1.00E+35,365,0.183757939,-0.798512159,0.6,0.8
2070,1.00E+31,0,0.1998,-1.77E-05,0.6,0.7
2071,1.10E+33,186,0.035114206,-0.367131536,0.8,0.8
2080,1.01E+35,312,0.096838186,-0.655434545,0.4,1
2086,1.00E+30,0,0.1998,-1.49E-05,0.4,0.7
2087,1.01E+35,221,0.11279208,-0.704352911,0.6,0.6
2092,1.00E+31,0,0.1998,-3.54E-05,1,1.11E-16
2104,1.01E+35,356,0.067175871,-0.607815711,0.4,0.8
2119,1.01E+35,575,0.041948359,-0.590502527,1,0.8
2121,1.00E+24,0,0.1998,-1.91E-05,0.8,0.4
2136,1.01E+35,447,0.11279208,-0.704352911,0.4,0.8
2141,1.01E+28,0,0.1998,-1.96E-05,0.6,0.5
2144,1.01E+35,232,0.095106612,-0.603923016,0.6,0.8
2146,1.00E+35,0,1,-4.38E-17,1,0.3
2149,1.01E+23,0,0.1998,-1.80E-05,0.8,0.5
2155,1.01E+35,148,0.170338031,-0.598778047,0.4,0.7
2156,1.10E+26,0,0.1998,-2.25E-05,1,0.3
2158,1.01E+35,119,0.078775642,-0.595287494,0.6,1
2161,1.10E+34,0,0.1998,-1.26E-05,0.6,0.7
